,#,año,mes
1,1015143,2013,ENERO
2,997455,2013,FEBRERO
3,1012672,2013,MARZO
4,1011386,2013,ABRIL
5,1018563,2013,MAYO
6,978224,2013,JUNIO
7,1022708,2013,JULIO
8,1033381,2013,AGOSTO
9,999780,2013,SEPTIEMBRE
10,986265,2013,OCTUBRE
11,1014064,2013,NOVIEMBRE
12,1008542,2013,DICIEMBRE
0,1014811,2014,ENERO 
1,1003953,2014,FEBRERO 
2,978981,2014,MARZO
3,938359,2014,ABRIL
4,951944,2014,MAYO
5,1011135,2014,JUNIO
6,971010,2014,JULIO
7,1001928,2014,AGOSTO
8,995768,2014,SEPTIEMBRE
9,1004326,2014,OCTUBRE
1,1035526,2015,Enero
2,1029761,2015,Febrero 
3,1022580,2015,Marzo
4,1028898,2015,Abril
5,1026920,2015,Mayo
6,947483,2015,Julio
7,967771,2015,Agosto
8,1008523,2015,Septiembre
9,1004642,2015,Octubre
10,989688,2015,Noviembre
11,998740,2015,Diciembre
0,984740,2016,Enero
1,953997,2016,Febrero
2,916292,2016,Marzo
3,914172,2016,Abril
4,904753,2016,Mayo
5,841703,2016,Julio
6,826305,2016,Agosto
7,857766,2016,Septiembre
8,845781,2016,Octubre
9,854250,2016,Noviembre
10,836619,2016,Diciembre
1,860477,2017,Enero
2,864513,2017,Febrero
3,804309,2017,Marzo
4,858429,2017,Abril
5,852508,2017,Mayo
6,856391,2017,Julio
7,858511,2017,Agosto
8,852198,2017,Septiembre
9,863852,2017,Octubre
10,851061,2017,Noviembre
11,870319,2017,Diciembre
0,860876,2018,Enero
1,823330,2018,Febrero
2,856495,2018,Marzo
3,864751,2018,Abril
4,865993,2018,Mayo
5,860402,2018,Julio
6,866480,2018,Agosto
7,868708,2018,Septiembre
8,878854,2018,Octubre
9,883263,2018,Noviembre
10,889388,2018,Diciembre
0,898972,2019,Enero
1,892689,2019,Febrero
2,884876,2019,Marzo
3,891011,2019,Abril
4,894518,2019,Mayo
5,868749,2019,Julio
6,882863,2019,Agosto
7,879497,2019,Septiembre
8,882748,2019,Octubre
9,880270,2019,Noviembre
10,882222,2019,Diciembre
0,883915,2020,enero
1,878389,2020,febrero
2,857112,2020,marzo
3,796163,2020,abril
4,732276,2020,mayo
5,734986,2020,julio
6,742090,2020,agosto
7,749256,2020,septiembre
8,751376,2020,octubre
9,760942,2020,noviembre
10,760018,2020,diciembre
0,745402,2021,enero
1,745769,2021,febrero
2,745427,2021,marzo
3,745488,2021,abril
4,703480,2021,mayo
5,694154,2021,junio
6,731255,2021,julio
